id,draft_year,draft_round,draft_number
3790,,,
3797,2016,1,26
3800,,,
3806,,,
3810,,,
3813,,,
3816,2014,1,19
3819,,,
3823,2018,2,37
3826,2008,1,26
3829,2016,2,50
3832,2013,1,15
3836,2014,2,40
3839,2019,1,18
3842,2008,2,45
3846,2010,1,9
3849,2013,1,21
3855,2019,1,22
3859,2018,1,21
3865,2018,2,45
3868,2012,1,7
3872,2017,1,20
3875,2010,2,33
3878,2016,1,18
3881,2005,1,28
3885,2019,2,47
3888,2011,1,17
3895,2018,2,39
3901,2017,2,43
3787,2017,1,8
3908,2019,2,45
3784,2017,2,34
3777,2017,2,31
3669,2016,1,11
3672,2017,1,13
3676,,,
3679,2018,1,17
3682,,,
3686,2014,1,11
3689,2016,1,4
3692,2012,2,35
3695,,,
3699,,,
3702,2017,,
3705,2017,2,40
3708,2004,1,1
3712,2014,2,45
3718,2018,1,29
3721,2011,2,55
3725,2010,1,13
3728,2017,2,52
3731,2014,1,10
3735,2018,2,31
3744,2015,1,7
3748,2011,1,3
3751,2010,1,18
3754,2008,1,7
3757,2017,,
3761,2019,2,41
3764,2005,2,36
3767,2012,1,20
3770,2010,1,2
3780,2015,1,9
3666,2012,1,4
3914,2011,2,60
3921,2016,2,32
4061,,,
4064,2019,2,43
4068,2017,1,3
4071,2007,1,5
4074,2009,1,19
4077,2014,2,39
4081,,,
4084,2012,1,12
4087,2009,0,0
4090,2015,1,19
4094,2018,1,13
4097,2018,2,32
4100,2011,1,30
4104,2007,1,9
4107,2018,,
4110,2014,2,33
4113,,,
4117,2014,1,3
4120,2017,1,19
4123,2012,1,14
4126,,,
4133,,,
4136,,,
4139,2017,2,36
4143,2011,1,5
4146,2017,1,6
4153,2017,2,38
4156,2019,2,57
4159,2014,2,46
4058,2016,1,3
3917,,,
4048,2019,1,8
4041,,,
3924,,,
3927,2018,,
3930,2006,1,11
3934,2004,1,18
3937,2019,1,2
3940,,,
3944,,,
3947,2008,1,18
3950,2014,1,2
3953,2018,1,28
3960,2012,2,34
3966,2015,1,3
3973,2016,2,47
3976,2016,1,9
3979,2018,2,33
3986,,,
3989,2019,2,52
3996,2000,1,8
3999,2016,1,7
4002,2013,2,50
4006,2009,1,3
4009,2009,1,16
4019,2007,1,22
4022,,,
4025,2018,1,4
4028,2018,2,41
4032,2019,2,50
4035,2017,1,22
4038,2019,1,6
4045,,,
3663,2017,2,45
3656,,,
3653,2019,2,59
3281,2011,1,7
3284,2009,1,1
3287,,,
3290,2015,1,22
3294,2014,1,27
3297,2011,2,31
3300,2019,2,44
3303,,,
3307,2012,1,3
3310,2019,1,21
3313,,,
3317,2016,1,2
3320,2011,1,8
3323,,,
3330,2008,1,10
3333,2018,2,42
3336,2014,1,20
3339,2019,2,34
3343,,,
3346,2016,1,6
3352,2013,1,10
3356,2005,2,34
3359,,,
3362,2017,1,26
3366,2019,1,10
3369,2019,1,11
3375,2015,1,14
3382,2016,1,20
3385,2003,1,3
3277,2016,1,1
3388,2019,2,33
3274,2013,1,7
3268,,,
3140,2018,1,23
3147,2016,2,58
3150,,,
3153,2019,2,42
3157,2007,1,3
3160,2010,1,8
3163,2011,1,12
3170,2019,2,39
3173,,,
3176,2013,1,5
3179,,,
3183,2018,2,50
3186,2013,2,31
3189,2018,,
3196,2017,,
3199,,,
3206,2012,1,9
3209,2004,1,9
3212,2013,1,26
3215,2014,1,1
3219,2018,1,24
3222,2016,1,23
3225,2012,1,1
3238,,,
3241,,,
3245,2017,1,25
3251,,,
3258,2012,1,10
3261,2010,1,19
3271,2017,1,14
3398,2015,2,31
3401,2018,1,22
3405,2011,2,38
3532,2019,1,23
3535,2019,1,5
3542,2018,,
3545,,,
3548,2011,2,42
3552,2017,1,5
3555,2019,1,4
3558,2018,2,46
3561,2008,2,35
3565,2016,1,21
3568,2009,1,9
3575,2009,1,27
3578,,,
3581,2018,1,1
3588,2016,1,29
3591,2015,1,20
3597,2013,1,17
3601,2017,1,9
3604,2016,1,14
3607,,,
3610,2010,1,3
3614,,,
3617,2008,1,1
3620,,,
3623,2017,1,29
3630,2015,1,13
3643,2018,2,53
3646,,,
3650,2018,2,34
3529,2014,1,12
3526,,,
3522,2014,1,5
3519,2009,2,46
3408,,,
3411,2015,,
3414,2016,2,33
3418,2018,2,49
3421,,,
3424,,,
3428,,,
3431,2005,1,4
3434,,,
3437,,,
3444,2014,1,25
3447,2019,1,7
3450,2019,2,36
3454,2013,1,4
4166,2014,2,58
3460,2018,1,8
3467,2011,1,29
3470,2008,1,22
3473,,,
3477,2015,1,2
3480,2008,1,9
3483,2017,1,17
3486,,,
3493,2016,1,30
3496,2012,1,6
3499,,,
3503,2017,2,44
3506,2019,2,38
3512,,,
3516,2008,1,6
3463,2007,1,7
4172,2019,1,28
3137,2014,1,4
4185,2017,1,30
4835,2015,1,23
4838,,,
4842,2006,1,8
4845,2013,1,27
4848,2019,1,9
4851,2008,1,4
4855,2008,1,21
4858,,,
4861,,,
4877,2019,1,15
4881,2017,2,37
4884,2008,1,24
4887,,,
4891,2014,1,24
4894,2018,1,11
4897,2018,2,54
4900,,,
4904,,,
4907,2017,2,48
4910,2016,1,28
4917,2013,1,23
4920,2014,2,38
4923,2015,1,8
4926,,,
4930,2009,1,7
4933,2017,2,46
4936,2013,1,12
4940,2018,2,47
4943,2017,1,18
4832,2019,1,14
4946,2015,0,
4828,,,
4822,2018,2,40
4691,2017,1,23
4698,2018,1,30
4704,,,
4708,2013,1,3
4711,2006,2,35
4714,2019,1,12
4717,,,
4721,2016,1,27
4724,2015,2,41
4727,2009,2,42
4731,2016,2,38
4734,2010,1,14
4740,2009,2,55
4744,2010,1,10
4747,2006,2,47
4753,,,
4763,,,
4766,2019,2,49
4773,2019,1,3
4776,2006,1,21
4780,2013,2,47
4786,,,
4789,2013,1,25
4793,2011,1,24
4799,2015,2,37
4802,2009,1,5
4806,,,
4812,2018,1,27
4819,2008,1,15
4825,2014,1,23
4949,2014,1,14
4953,,,
4956,2009,1,26
5086,,,
5090,2012,1,17
5103,2016,2,60
5106,2001,1,2
5109,2015,1,24
5116,,,
5122,,,
5126,2013,1,2
5129,1998,1,5
5132,,,
5135,2017,2,49
5139,2009,1,28
5142,2018,1,7
5145,,,
5149,2017,2,33
5152,,,
5155,2012,2,40
5162,,,
5165,2015,1,6
5168,2015,2,35
5171,2007,1,23
5178,,,
5181,,,
5184,2017,1,10
5188,2014,1,13
5191,2019,,
5198,2018,1,16
5201,2019,1,1
5204,,,
5083,2019,1,13
5080,,,
5070,2019,1,24
5067,,,
4959,2019,2,46
4962,,,
4966,2016,1,12
4969,2019,2,48
4972,,,
4975,2017,1,21
4979,2012,1,8
4982,2015,1,16
4985,2006,1,13
4989,2007,1,12
4992,2014,2,51
4998,,,
5002,2017,2,42
5005,2016,1,10
4175,,,
5008,,,
5015,2016,1,24
5018,2011,1,19
5021,2012,2,32
5024,2017,1,28
5028,2013,1,20
5031,,,
5034,2018,1,5
5041,2019,2,51
5047,,,
5051,2004,2,43
5054,2013,1,9
5057,2015,1,12
5060,2011,1,4
5064,2018,1,15
5011,2013,1,24
4685,2015,2,46
4688,,,
4678,2011,1,16
4309,2018,2,57
4313,2018,1,19
4316,2018,1,9
4319,2008,1,5
4322,2019,1,30
4326,2015,1,30
4329,,,
4332,2012,2,39
4335,2018,2,38
4348,2018,2,60
4352,2016,1,5
4355,2015,1,4
4358,,,
4362,,,
4365,2014,1,30
4368,2019,2,55
4371,2003,2,51
4375,2017,1,27
4378,2006,1,24
4381,2012,2,49
4384,2011,1,1
4388,2006,1,2
4397,,,
4401,2018,1,26
4404,,,
4407,2015,1,27
4410,2017,1,7
4414,2003,1,1
4682,2014,1,9
4299,2013,1,8
4420,2017,1,2
4296,,,
4290,,,
4188,2017,1,4
4192,2012,0,0
4195,2018,1,20
4198,,,
4202,2015,2,40
4205,2009,1,17
4208,,,
4211,2016,1,15
4215,2014,1,7
4218,2015,1,21
4221,,,
4224,2017,1,15
4228,2019,2,40
4231,2017,1,16
4234,2019,,
4237,2019,2,53
4241,2015,1,10
4244,2014,1,16
4247,,,
4250,2019,2,32
4254,2017,2,53
4260,2015,1,1
4264,2011,1,15
4267,2018,2,48
4270,,,
4273,2019,1,29
4280,2013,1,13
4283,2015,1,15
4286,2011,1,9
4293,,,
4424,2005,2,45
4417,2018,1,18
4430,2008,2,37
4427,,,
4564,,,
4567,2012,1,2
4571,2018,1,14
4574,2018,1,10
4577,2007,1,4
4584,2013,2,44
4587,2012,2,43
4590,2018,1,12
4593,2018,2,36
4597,2019,2,58
4600,2018,1,6
4603,2017,2,51
4606,2015,2,32
4610,2018,1,25
4613,,,
4616,,,
4619,2015,1,11
4626,2019,1,25
4639,,,
4642,,,
4646,2010,2,35
4649,2013,1,6
4655,2019,1,17
4662,2008,1,25
4665,2019,2,31
4668,,,
4672,2017,2,55
4675,2014,2,41
4557,2019,1,27
4554,2012,1,11
4561,2013,1,11
4548,,,
4433,,,
4437,2018,1,3
4440,2019,1,19
4443,2017,1,12
4446,,,
4453,2016,2,36
4456,,,
4459,2016,1,19
4466,2017,1,11
4469,2018,,
4476,2007,2,48
4479,2007,1,18
4551,2018,2,35
4486,2014,1,6
4489,2019,2,54
4482,2011,1,14
4495,2017,1,1
4544,,,
4541,2012,1,15
4538,,,
4492,2015,1,5
4531,,,
4528,2019,1,20
4535,,,
4518,2005,1,2
4515,2018,1,2
4512,2016,1,8
4508,2019,,
4502,,,
4499,2011,1,13
4525,2013,1,22
4162,,,
5194,2020,1,22
5175,2020,2,35
3793,,,
3803,,,
3852,2020,2,56
3862,,,
3774,,,
3640,,,
3659,2019,2,35
3715,2019,1,26
3738,,,
3741,2020,2,39
4051,2020,2,55
4055,,,
4130,2010,1,1
4015,2020,1,2
4012,,,
3891,2020,1,25
3898,2020,1,5
3904,2020,2,49
3911,2020,1,16
3637,2020,1,11
3957,2020,1,28
3963,,,
3970,2020,2,43
3983,2020,2,59
3993,2020,1,10
3633,2019,,
3627,2020,1,30
3326,,,
3349,2020,2,46
3372,,,
3264,,,
3143,2020,1,14
3166,2020,1,17
3192,,,
3379,,,
3228,2020,1,1
3232,,,
3235,,,
3248,2019,,
3254,,,
3202,2004,2,30
3539,2012,2,46
3571,2010,1,5
3584,2019,2,37
3594,2020,1,9
3509,2020,2,33
3392,2020,2,54
3395,2020,2,53
3441,2019,1,16
3457,2020,1,15
3490,2018,,
4149,,,
4809,2019,,
4815,2020,2,40
4864,2020,2,38
4868,2020,1,19
4871,2020,2,60
4874,,,
4796,2020,2,57
4695,2020,1,8
4701,2020,1,6
4750,2020,2,58
4757,2020,1,26
4760,2020,1,20
4770,2020,1,24
4783,2018,2,56
4737,2020,1,4
4913,2020,2,50
5044,,,
5073,,,
5077,2020,2,36
5093,2020,2,31
5096,2020,1,12
5100,2020,1,21
5113,2020,1,27
5119,2020,2,32
5158,,,
5037,2020,2,41
4995,2020,2,34
4303,2020,2,52
4306,2007,1,2
4339,2020,1,7
4342,,,
4345,2020,1,13
4391,2020,1,3
4394,,,
4169,2020,2,45
4179,2020,1,18
4182,,,
4257,,,
4277,2019,,
4580,,,
4623,,,
4629,,,
4633,,,
4636,,,
4652,2020,2,42
4659,2020,2,48
4450,2020,1,29
4463,,,
4473,,,
4505,,,
4522,,,
