id,name,college,country
3790,Fred VanVleet,Wichita State,USA
3797,Furkan Korkmaz,,Turkey
3800,Gabe Vincent,California-Santa Barbara,USA
3806,Garrett Temple,Louisiana State,USA
3810,Garrison Mathews,Lipscomb,USA
3813,Gary Clark,Cincinnati,USA
3816,Gary Harris,Michigan State,USA
3819,Gary Payton II,Oregon State,USA
3823,Gary Trent Jr.,Duke,USA
3826,George Hill,Indiana-Purdue Indianapolis,USA
3829,Georges Niang,Iowa State,USA
3832,Giannis Antetokounmpo,,Greece
3836,Glenn Robinson III,Michigan,USA
3839,Goga Bitadze,,Georgia
3842,Goran Dragic,,Slovenia
3846,Gordon Hayward,Butler,USA
3849,Gorgui Dieng,Louisville,Senegal
3855,Grant Williams,Tennessee,USA
3859,Grayson Allen,Duke,USA
3865,Hamidou Diallo,Kentucky,USA
3868,Harrison Barnes,North Carolina,USA
3872,Harry Giles III,Duke,USA
3875,Hassan Whiteside,Marshall,USA
3878,Henry Ellenson,Marquette,USA
3881,Ian Mahinmi,,France
3885,Ignas Brazdeikis,Michigan,Canada
3888,Iman Shumpert,Georgia Tech,USA
3895,Isaac Bonga,,Germany
3901,Isaiah Hartenstein,,Germany
3787,Frank Ntilikina,,France
3908,Isaiah Roby,Nebraska-Lincoln,USA
3784,Frank Mason,Kansas,USA
3777,Frank Jackson,Duke,USA
3669,Domantas Sabonis,Gonzaga,Lithuania
3672,Donovan Mitchell,Louisville,USA
3676,Donta Hall,Alabama,USA
3679,Donte DiVincenzo,Villanova,USA
3682,Dorian Finney-Smith,Florida,USA
3686,Doug McDermott,Creighton,USA
3689,Dragan Bender,,Croatia
3692,Draymond Green,Michigan State,USA
3695,Drew Eubanks,Oregon State,USA
3699,Duncan Robinson,Michigan,USA
3702,Dusty Hannahs,Arkansas,USA
3705,Dwayne Bacon,Florida State,USA
3708,Dwight Howard,,USA
3712,Dwight Powell,Stanford,Canada
3718,Dzanan Musa,,Bosnia and Herzegovina
3721,E'Twaun Moore,Purdue,USA
3725,Ed Davis,North Carolina,USA
3728,Edmond Sumner,Xavier,USA
3731,Elfrid Payton,Louisana-Lafayette,USA
3735,Elie Okobo,,France
3744,Emmanuel Mudiay,,DRC
3748,Enes Kanter,,Turkey
3751,Eric Bledsoe,Kentucky,USA
3754,Eric Gordon,Indiana,USA
3757,Eric Mika,Brigham Young,USA
3761,Eric Paschall,Villanova,USA
3764,Ersan Ilyasova,,Turkey
3767,Evan Fournier,,France
3770,Evan Turner,Ohio State,USA
3780,Frank Kaminsky,Wisconsin,USA
3666,Dion Waiters,Syracuse,USA
3914,Isaiah Thomas,Washington,USA
3921,Ivica Zubac,,Croatia
4061,Jaylen Hoard,Wake Forest,France
4064,Jaylen Nowell,Washington,USA
4068,Jayson Tatum,Duke,USA
4071,Jeff Green,Georgetown,USA
4074,Jeff Teague,Wake Forest,USA
4077,Jerami Grant,Syracuse,USA
4081,Jeremiah Martin,Memphis,USA
