pid,team,season
3790,5295,2019-20
3797,5279,2019-20
3800,5256,2019-20
3806,5211,2019-20
3810,5302,2019-20
3813,5276,2019-20
3816,5230,2019-20
3819,5302,2019-20
3823,5286,2019-20
3826,5260,2019-20
3829,5299,2019-20
3832,5260,2019-20
3836,5279,2019-20
3839,5243,2019-20
3842,5256,2019-20
3846,5214,2019-20
3849,5253,2019-20
3855,5214,2019-20
3859,5253,2019-20
3865,5273,2019-20
3868,5289,2019-20
3872,5289,2019-20
3875,5286,2019-20
3878,5211,2019-20
3881,5302,2019-20
3885,5269,2019-20
3888,5211,2019-20
3895,5302,2019-20
3901,5240,2019-20
3787,5269,2019-20
3908,5273,2019-20
3784,5260,2019-20
3777,5266,2019-20
3669,5243,2019-20
3672,5299,2019-20
3676,5211,2019-20
3679,5260,2019-20
3682,5227,2019-20
3686,5243,2019-20
3689,5237,2019-20
3692,5237,2019-20
3695,5292,2019-20
3699,5256,2019-20
3702,5253,2019-20
3705,5217,2019-20
3708,5250,2019-20
3712,5227,2019-20
3718,5211,2019-20
3721,5266,2019-20
3725,5299,2019-20
3728,5243,2019-20
3731,5269,2019-20
3735,5282,2019-20
3744,5299,2019-20
3748,5214,2019-20
3751,5260,2019-20
3754,5240,2019-20
3757,5289,2019-20
3761,5237,2019-20
3764,5260,2019-20
3767,5276,2019-20
3770,5263,2019-20
3780,5282,2019-20
3666,5250,2019-20
3914,5302,2019-20
3921,5246,2019-20
4061,5286,2019-20
4064,5263,2019-20
4068,5214,2019-20
4071,5240,2019-20
4074,5207,2019-20
4077,5230,2019-20
4081,5211,2019-20
4084,5243,2019-20
4087,5237,2019-20
4090,5302,2019-20
4094,5302,2019-20
4097,5282,2019-20
4100,5256,2019-20
4104,5246,2019-20
4107,5217,2019-20
4110,5211,2019-20
4113,5299,2019-20
4117,5279,2019-20
4120,5207,2019-20
4123,5233,2019-20
4126,5253,2019-20
4133,5246,2019-20
4136,5302,2019-20
4139,5282,2019-20
4143,5253,2019-20
4146,5276,2019-20
4153,5224,2019-20
4156,5233,2019-20
4159,5299,2019-20
4058,5214,2019-20
3917,5302,2019-20
4048,5266,2019-20
4041,5302,2019-20
3924,5227,2019-20
3927,5224,2019-20
3930,5266,2019-20
3934,5250,2019-20
3937,5253,2019-20
3940,5243,2019-20
3944,5246,2019-20
3947,5250,2019-20
3950,5289,2019-20
3953,5263,2019-20
3960,5256,2019-20
3966,5266,2019-20
3973,5263,2019-20
3976,5292,2019-20
3979,5227,2019-20
3986,5282,2019-20
3989,5217,2019-20
3996,5211,2019-20
3999,5230,2019-20
4002,5276,2019-20
4006,5240,2019-20
4009,5263,2019-20
4019,5250,2019-20
4022,5269,2019-20
4025,5253,2019-20
4028,5263,2019-20
4032,5299,2019-20
4035,5211,2019-20
4038,5263,2019-20
4045,5214,2019-20
3663,5253,2019-20
3656,5207,2019-20
3653,5295,2019-20
3281,5217,2019-20
3284,5233,2019-20
3287,5227,2019-20
3290,5269,2019-20
3294,5289,2019-20
3297,5299,2019-20
3300,5230,2019-20
3303,5214,2019-20
3307,5302,2019-20
3310,5253,2019-20
3313,5207,2019-20
3317,5266,2019-20
3320,5233,2019-20
3323,5243,2019-20
3330,5260,2019-20
3333,5233,2019-20
3336,5240,2019-20
3339,5207,2019-20
3343,5292,2019-20
3346,5289,2019-20
3352,5286,2019-20
3356,5302,2019-20
3359,5217,2019-20
3362,5286,2019-20
3366,5207,2019-20
3369,5282,2019-20
3375,5282,2019-20
3382,5211,2019-20
3385,5286,2019-20
3277,5279,2019-20
3388,5214,2019-20
3274,5240,2019-20
3268,5276,2019-20
3140,5243,2019-20
3147,5273,2019-20
3150,5220,2019-20
3153,5302,2019-20
3157,5279,2019-20
3160,5276,2019-20
3163,5279,2019-20
3170,5237,2019-20
3173,5250,2019-20
3176,5289,2019-20
3179,5224,2019-20
3183,5243,2019-20
3186,5263,2019-20
3189,5269,2019-20
3196,5276,2019-20
3199,5246,2019-20
3206,5224,2019-20
3209,5256,2019-20
3212,5273,2019-20
3215,5237,2019-20
3219,5286,2019-20
3222,5224,2019-20
3225,5250,2019-20
3238,5253,2019-20
3241,5227,2019-20
3245,5302,2019-20
3251,5282,2019-20
3258,5240,2019-20
3261,5250,2019-20
3271,5256,2019-20
3398,5224,2019-20
3401,5220,2019-20
3405,5207,2019-20
3532,5273,2019-20
3535,5224,2019-20
3542,5256,2019-20
3545,5240,2019-20
3548,5302,2019-20
3552,5289,2019-20
3555,5207,2019-20
3558,5253,2019-20
3561,5211,2019-20
3565,5207,2019-20
3568,5292,2019-20
3575,5240,2019-20
3578,5224,2019-20
3581,5282,2019-20
3588,5292,2019-20
3591,5227,2019-20
3597,5273,2019-20
3601,5269,2019-20
3604,5220,2019-20
3607,5273,2019-20
3610,5266,2019-20
3614,5256,2019-20
3617,5233,2019-20
3620,5233,2019-20
3623,5292,2019-20
3630,5282,2019-20
3643,5273,2019-20
3646,5250,2019-20
3650,5217,2019-20
3529,5282,2019-20
3526,5240,2019-20
3522,5224,2019-20
3519,5250,2019-20
3408,5207,2019-20
3411,5237,2019-20
3414,5282,2019-20
3418,5292,2019-20
3421,5295,2019-20
3424,5211,2019-20
3428,5240,2019-20
3431,5273,2019-20
3434,5256,2019-20
3437,5233,2019-20
3444,5207,2019-20
3447,5220,2019-20
3450,5217,2019-20
3454,5217,2019-20
4166,5233,2019-20
3460,5224,2019-20
3467,5289,2019-20
3470,5227,2019-20
3473,5220,2019-20
3477,5263,2019-20
3480,5276,2019-20
3483,5260,2019-20
3486,5289,2019-20
3493,5207,2019-20
3496,5286,2019-20
3499,5237,2019-20
3503,5269,2019-20
3506,5220,2019-20
3512,5214,2019-20
3516,5273,2019-20
3463,5289,2019-20
4172,5237,2019-20
3137,5276,2019-20
4185,5266,2019-20
4835,5295,2019-20
4838,5299,2019-20
4842,5292,2019-20
4845,5299,2019-20
4848,5302,2019-20
4851,5240,2019-20
4855,5240,2019-20
4858,5220,2019-20
4861,5279,2019-20
4877,5233,2019-20
4881,5214,2019-20
4884,5295,2019-20
4887,5227,2019-20
4891,5302,2019-20
4894,5273,2019-20
4897,5279,2019-20
4900,5295,2019-20
4904,5220,2019-20
4907,5266,2019-20
4910,5207,2019-20
4917,5256,2019-20
